43 25 29 35 16 27 43 25 29
43 25 29 51 39 23 43 25 29
43 25 29 41 9 25 43 25 29
43 25 29 54 17 37 43 25 29
35 16 27 41 9 25 43 25 29
41 9 25 54 17 37 43 25 29
62 42 8 60 38 10 51 39 23
62 42 8 66 47 13 51 39 23
60 38 10 42 37 8 51 39 23
60 38 10 66 47 13 51 39 23
66 47 13 51 58 17 51 39 23
72 35 18 73 39 23 62 42 8
87 52 52 92 53 61 96 54 45
61 25 67 63 30 52 69 35 68
56 8 64 51 9 65 61 25 67
48 6 87 60 14 99 58 0 86
48 6 87 52 5 94 58 0 86
60 14 99 52 5 94 58 0 86
82 78 49 85 74 41 70 73 37
79 76 63 75 89 61 82 78 49
